Y,X1,X3,X4,X5,AVG
0,3,3,4,2,3.166666667
0,3,3,5,4,3.333333333
1,5,3,3,3,3.666666667
0,5,3,3,3,3.833333333
0,5,3,3,3,3.833333333
1,5,3,5,5,4.666666667
0,3,2,2,1,2
1,5,4,4,4,4.333333333
0,4,4,4,4,3.5
0,4,4,2,5,4
0,3,3,3,2,2.666666667
0,4,3,4,4,3.833333333
1,5,4,5,5,4.333333333
0,4,4,5,4,3.666666667
0,4,3,3,4,3
1,3,4,3,4,3.333333333
0,5,4,5,4,4.333333333
1,5,4,3,4,3.666666667
0,5,2,4,4,3.5
0,4,4,4,4,3.666666667
1,4,3,3,4,3.333333333
0,4,5,5,5,4.333333333
0,4,5,5,5,4.333333333
1,5,2,5,2,3.166666667
1,4,3,3,3,3.333333333
0,3,3,3,2,3
1,3,3,5,5,4
1,3,1,3,3,2.833333333
1,3,1,3,3,2.833333333
1,5,3,3,5,3.666666667
0,5,3,3,5,3.666666667
0,4,3,4,4,3.5
1,3,4,4,4,3.666666667
1,3,4,4,4,3.666666667
1,4,3,1,1,2.333333333
0,4,3,3,4,3.333333333
1,5,4,3,4,4
1,5,4,3,4,4
1,5,3,3,2,3.333333333
1,4,3,4,2,3.5
0,5,3,3,3,3.166666667
1,4,4,3,2,3.166666667
0,5,3,3,4,3.666666667
0,4,3,4,2,3.333333333
1,3,2,4,3,3
1,5,4,4,4,4.166666667
1,5,3,4,4,4
0,1,1,3,1,1.833333333
1,5,5,5,5,4.166666667
1,5,3,3,4,3.333333333
1,5,3,3,4,3.333333333
1,5,3,3,4,3.333333333
1,5,4,3,4,3.833333333
1,5,4,3,4,3.833333333
1,4,2,4,3,3.333333333
1,4,2,4,3,3.333333333
0,5,1,5,3,3.333333333
0,4,4,4,3,3.833333333
1,5,5,5,4,4.5
1,5,4,2,2,3.166666667
0,4,3,3,3,3.5
1,5,4,4,5,4.166666667
1,5,4,4,5,4.166666667
0,5,5,2,5,4.5
1,4,3,4,4,3.333333333
1,4,3,4,4,3.333333333
0,3,3,5,4,3.5
0,4,1,3,4,2.833333333
1,5,5,5,5,4.333333333
1,5,5,5,5,4.833333333
1,4,3,4,3,3.5
0,4,5,5,1,3.833333333
1,4,3,4,2,3.333333333
0,5,3,3,2,3.333333333
1,5,5,5,5,4.5
0,3,3,3,4,3.166666667
0,4,2,3,2,3
1,5,3,5,5,4.166666667
0,5,3,3,2,3.5
1,5,5,5,5,5
1,4,2,4,4,3.5
0,3,3,3,3,3.166666667
1,4,4,4,4,3.666666667
1,5,2,4,4,3.666666667
0,4,4,4,2,3.5
1,5,3,4,4,3.833333333
1,5,3,3,5,4
0,4,3,4,4,3.166666667
0,5,2,4,3,3.833333333
0,3,1,3,2,2.5
0,3,5,4,5,4.166666667
1,5,3,4,5,3.833333333
1,5,5,5,5,4.666666667
1,5,4,4,4,4.333333333
0,3,3,2,1,2
1,5,5,5,5,5
0,4,3,4,3,3.5
1,5,5,4,5,4.5
1,4,3,4,3,3.166666667
0,3,2,4,4,3.333333333
1,5,2,4,5,3.833333333
1,5,4,3,4,3.666666667
0,5,3,3,3,3.5
1,4,4,4,3,3.666666667
0,4,3,5,3,3.5
1,5,4,3,5,3.833333333
1,5,5,3,5,4
0,4,4,4,4,3.666666667
0,5,4,4,5,4.166666667
1,5,4,4,4,4
0,5,3,4,4,4
0,5,3,4,4,3.833333333
0,4,3,3,3,3
0,5,4,4,4,3.833333333
0,5,2,4,4,3.666666667
0,5,5,4,5,4.5
1,3,4,5,1,3.333333333
1,5,5,5,5,4.333333333
1,4,3,4,4,3.666666667
1,5,1,1,5,3
0,4,4,4,1,3.333333333
1,5,3,4,4,3.5
1,5,3,4,2,3.5
1,5,3,4,4,4
0,4,3,4,4,3.833333333
0,5,2,5,5,4.166666667
